cluster_100,count,mean,std,min,25%,50%,75%,max,area_model,benchmark_1_2,benchmark_quarters,comparing_frac_gt_lt,counting_hops_for_division,counting_hops_not_ticks,deci_add_to_model,deci_break_tenths_hundredths,deci_building_tenths,deci_compare_no_models,deci_forgot_decimal_point,deci_hops_instead_ticks,deci_hundredths_vs_tenths,deci_incorrect_inequality,deci_placing_decimal_points,deci_point_location_correct,deci_tens_vs_tenths,deci_understanding_gt_lt,determine_the_frac_part,dragging_to_add,dragging_to_add_3_circles,equally_sized_parts,fraction_of_set,hops_vs_ticks,how_to_model,identifying_gt_lt,inequality_symbol,inverts_numerator_denominator,measuring_tools,misplaced_fraction_part_nline,mixed_number_quotient,mixed_numbers_on_number_line,modeled_incorrect_comparison,modeled_incorrect_numerator,modeling_fraction_division,modulo_ans,multiplication,multiplying_whole_by_proper,nline_as_whole,nline_restart_one,numerator_off_by_one_nline,only_tenths_entered,orange_tick,partially_drawn_parts,partitioning_number_line,recognizing_the_whole,simplify_with_common_denom,simplifying_answers_nline,simplifying_bars_2,simplifying_fractions,simplifying_mixed_numbers,simplifying_mixed_numbers_2,simplifying_subtraction,simplifying_with_bars,starting_from_0_nline,using_bars_in_division,using_correct_piece,wrong_number_parts
40,598.0,0.8780365769496203,0.16938454133751896,0.0,0.8,0.9090909090909091,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4203.0,0.8202539140083751,0.22407705980860432,0.0,0.75,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1572,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,205,0,0,0,0,6,1,0,0,0,0,0,0
42,297.0,0.8441279072592203,0.172926784089305,0.36363636363636365,0.75,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,107.0,0.7533903790913137,0.2866761993563285,0.0,0.7777777777777778,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1210.0,0.775483077528532,0.2413660767336119,0.0,0.7142857142857143,0.8,1.0,1.0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,114,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
45,655.0,0.8325754821938027,0.21247937323748173,0.0,0.75,0.8888888888888888,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,2,9,0
46,789.0,0.7670283455454558,0.22316945691132642,0.0,0.6666666666666666,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,15,0,0,4,0
47,2371.0,0.8003443028221602,0.2454940639087188,0.0,0.75,0.8571428571428571,1.0,1.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56,7,0,0,0,2,2,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
48,245.0,0.8111006567129017,0.2173275972029547,0.0,0.7777777777777778,0.8333333333333334,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
49,1318.0,0.7787791474248225,0.22321801977794173,0.0,0.6428571428571429,0.8,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,0,0,0,0,17,17,0,0,0,0,1,1,0,0,0,0,0,0,1,0,85,0,0,0,0,62,0,2,18,0
50,216.0,0.766714265672599,0.24283854772900548,0.0,0.7142857142857143,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,37,0,0,0,0
51,722.0,0.8471312851506756,0.2080615221500996,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
52,1351.0,0.8233664764382752,0.19072944657631616,0.0,0.7777777777777778,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,138,0,0,0,0,0,0,0
53,93.0,0.6862685999782773,0.2755485947031155,0.0,0.6,0.75,0.8571428571428571,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,671.0,0.896792063707116,0.1457308226621099,0.0,0.8,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
55,68.0,0.8064425770308123,0.2215980881616834,0.0,0.7272727272727273,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1395.0,0.8026478559274258,0.2226047270955368,0.0,0.7272727272727273,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,345,0,30,0,0,0,0,0
57,872.0,0.7586339724241101,0.2336855959284015,0.0,0.6412337662337663,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,56,56,0,0,0,0,1,1,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,2,8,0
58,267.0,0.8804217941858392,0.16061545361869162,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
59,283.0,0.8685182210800585,0.20308718956724112,0.0,0.8,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,9,0
